gender,age,gross_income,segment,num_credit_cards,active_inactive_start,active_inactive_end,num_products,num_loans,duration
F,32,90220.2,College_Graduated,0,I,0,1,0,382
F,73,97062.48,Individuals,0,I,0,0,0,2804
F,31,84075.96,College_Graduated,0,I,0,0,0,1441
F,23,97053.51,College_Graduated,0,I,0,1,0,732
F,57,135643.95,Individuals,0,A,1,4,0,5913
M,32,33852.99,Individuals,0,A,1,4,0,858
F,52,62049.45,Individuals,0,I,0,0,0,2204
F,38,36230.58,Individuals,0,A,1,1,0,1293
M,45,86566.26,Individuals,1,A,1,7,0,3904
F,48,70337.04,Individuals,0,A,1,3,0,3573
M,57,116764.62,Individuals,0,I,0,1,0,1818
M,27,57411.54,College_Graduated,0,A,1,1,0,1153
M,22,57707.49,College_Graduated,0,I,0,0,0,649
F,54,193628.31,Individuals,0,A,1,1,0,4053
M,26,823727.49,College_Graduated,0,I,0,1,0,1763
M,28,115441.92,College_Graduated,0,I,0,1,0,1808
F,40,178013.4,Individuals,0,I,0,2,0,4175
M,78,69908.16,Individuals,0,I,0,0,0,4373
F,36,102707.22,Individuals,0,I,0,0,0,3014
F,38,292062,Individuals,0,A,1,7,1,6320
F,46,76597.35,Individuals,0,A,1,2,0,3768
F,25,422379.48,College_Graduated,0,I,0,1,0,1047
F,48,42909.78,Individuals,0,A,1,2,0,5927
M,22,139650.6,College_Graduated,0,A,1,1,0,1136
F,68,96295.32,Individuals,0,I,0,0,0,740
F,56,141568.71,Individuals,0,A,1,6,0,5858
F,52,112208.07,Individuals,0,I,0,0,0,2286
F,27,255427.68,Individuals,0,I,0,1,0,648
M,45,125368.56,VIP,0,A,1,2,0,773
M,45,186947.43,Individuals,0,A,1,1,0,6411
M,50,218126.31,Individuals,0,A,1,2,0,2875
F,26,208272.75,College_Graduated,0,I,0,1,0,1440
M,87,301353.06,Individuals,0,I,0,1,0,5548
F,20,48855.15,College_Graduated,0,I,0,1,0,390
F,51,59718.06,Individuals,0,I,0,0,0,1060
F,84,71984.22,Individuals,0,I,1,1,0,2874
F,67,78162.39,Individuals,0,I,0,1,0,7127
M,46,176318.28,Individuals,0,A,1,2,0,2594
F,37,46550.34,VIP,1,A,1,9,0,3967
F,69,167168.37,VIP,0,A,1,3,0,7464
F,45,108044.58,Individuals,0,A,1,3,0,5454
F,35,107002.59,Individuals,0,I,0,0,0,1707
M,34,25328.19,Individuals,0,I,0,1,0,1763
F,44,39956.13,Individuals,0,I,0,1,0,5207
F,44,67662.39,Individuals,0,I,0,1,0,2796
F,57,156504.09,Individuals,1,A,1,4,0,3552
M,63,44216.31,Individuals,0,A,1,2,0,5550
M,24,44447.31,College_Graduated,0,A,1,1,0,1874
M,44,96823.53,Individuals,1,A,1,8,0,6415
M,47,231878.52,Individuals,0,A,1,1,0,6009
F,51,228607.11,Individuals,0,A,1,2,0,6571
F,63,89809.32,VIP,0,A,1,3,0,5031
M,45,74030.67,Individuals,0,I,0,0,0,2309
M,50,138423.78,Individuals,0,I,0,0,0,3492
F,43,165731.04,Individuals,0,A,0,3,0,5585
M,26,156460.08,Individuals,0,A,1,3,0,2536
F,39,98036.13,Individuals,0,I,0,1,0,3982
M,49,314065.11,Individuals,0,I,1,2,0,6418
F,30,141119.01,Individuals,0,I,0,0,0,1805
M,22,38898.48,College_Graduated,0,I,0,1,0,1089
M,21,183065.34,College_Graduated,0,I,0,1,0,705
M,43,69705.24,Individuals,0,A,1,3,0,1388
M,29,154203.54,College_Graduated,0,A,1,2,0,1572
M,48,120512.49,Individuals,0,A,1,2,0,5013
M,58,353091,Individuals,0,I,0,1,0,7618
F,43,165714.12,Individuals,0,A,1,2,0,5311
F,24,74892.96,College_Graduated,0,I,0,1,0,1859
M,24,138941.19,College_Graduated,0,I,0,0,0,1056
F,24,106928.73,College_Graduated,0,I,0,1,0,702
F,22,34535.1,College_Graduated,0,I,0,1,0,984
M,35,68158.77,Individuals,0,I,0,1,0,1837
F,21,73584.75,College_Graduated,0,I,0,1,0,1059
F,54,373965.51,Individuals,0,A,1,2,0,6695
F,57,122968.32,Individuals,1,A,1,2,0,4087
M,20,144433.83,College_Graduated,0,A,1,1,0,415
F,42,80554.38,Individuals,1,A,1,6,0,3828
M,24,53407.38,College_Graduated,0,I,0,1,0,1873
M,48,128821.86,Individuals,0,A,0,2,0,4996
F,74,113712.18,Individuals,0,A,0,1,0,7256
M,50,203989.44,Individuals,0,I,0,1,0,5806
F,61,698086.14,Individuals,0,I,0,1,0,3133
M,22,182576.58,Individuals,0,A,1,3,0,426
F,29,94271.52,College_Graduated,0,I,0,1,0,1048
M,49,30458.07,VIP,1,A,1,4,0,2368
F,49,179617.8,Individuals,0,A,1,1,0,6036
F,37,80757.75,Individuals,0,I,0,0,0,1329
F,54,146655.93,Individuals,0,I,0,1,0,3986
M,28,57281.46,College_Graduated,0,A,1,2,0,1847
M,22,62402.07,College_Graduated,0,I,0,1,0,1349
M,49,112718.25,Individuals,0,A,1,1,0,7152
M,42,134737.53,Individuals,1,A,1,5,0,1444
M,85,129322.68,Individuals,0,I,0,1,0,3979
F,45,147517.08,Individuals,0,I,0,1,0,788
F,54,191088.24,Individuals,0,A,1,2,0,3033
F,86,235310.52,Individuals,0,I,0,0,0,2305
M,51,73008.39,VIP,0,A,1,5,0,5426
M,26,93297.81,College_Graduated,0,I,0,1,0,1500
F,47,200931.36,Individuals,0,I,0,2,0,2860
F,42,664041.21,Individuals,0,A,1,6,0,4269
F,58,130933.62,Individuals,0,A,1,1,0,825
M,42,117857.28,Individuals,0,A,1,3,0,5679
M,22,55555.44,College_Graduated,0,I,0,0,0,1144
M,88,400137.12,Individuals,0,I,0,0,0,4498
M,25,50303.79,College_Graduated,0,I,1,1,0,1133
F,60,445352.7,Individuals,0,I,0,2,0,5295
M,22,56113.5,College_Graduated,0,I,0,1,0,1150
F,46,50926.26,Individuals,0,A,1,4,0,779
F,29,64870.56,Individuals,0,I,0,0,0,944
M,26,160880.4,College_Graduated,0,A,1,2,0,2271
M,23,33191.22,College_Graduated,0,A,1,1,0,1509
M,44,137912.7,VIP,0,A,1,7,0,5542
F,48,109373.88,Individuals,1,A,1,5,0,7104
F,62,125565,Individuals,0,A,1,1,0,4714
F,44,61048.11,Individuals,0,I,0,2,0,5315
F,51,73330.77,Individuals,0,A,1,3,0,2825
F,20,82140.21,College_Graduated,0,A,1,1,0,409
M,40,38155.11,Individuals,0,I,0,1,0,1798
M,24,76849.23,College_Graduated,0,I,0,1,0,1823
F,42,137842.35,Individuals,0,I,0,0,0,3985
F,23,253936.77,College_Graduated,0,I,0,1,0,1431
F,25,54442.47,College_Graduated,0,I,0,1,0,1397
F,45,71289.63,Individuals,1,A,1,5,0,5219
F,49,44718.24,Individuals,0,I,0,0,0,4884
M,20,70946.94,College_Graduated,0,I,0,1,0,430
F,69,192463.8,Individuals,0,A,1,1,0,4266
F,46,184480.08,Individuals,0,A,1,4,0,2110
F,44,93029.19,Individuals,0,A,1,2,0,391
M,25,97460.82,College_Graduated,0,I,0,1,0,1152
M,36,105471.48,Individuals,1,A,1,4,0,4518
F,49,92210.46,Individuals,1,A,1,7,1,4002
M,46,113586.36,Individuals,0,A,1,1,0,761
F,69,146211.93,Individuals,1,A,1,5,0,6904
M,23,131311.71,College_Graduated,0,I,0,0,0,1433
M,40,139426.5,Individuals,0,I,0,0,0,5163
F,39,96281.55,Individuals,0,A,1,1,0,2851
F,49,250010.85,Individuals,0,I,0,1,0,3771
F,49,147978.39,Individuals,0,A,1,1,0,3731
M,26,72384.84,College_Graduated,0,I,0,1,0,1823
F,62,105515.49,Individuals,1,A,1,3,0,2348
F,27,51814.38,College_Graduated,0,I,0,1,0,1385
F,45,240073.38,VIP,0,A,1,2,0,772
M,43,123334.77,Individuals,0,I,0,1,0,3533
F,44,40582.8,Individuals,0,I,1,1,0,485
F,83,111085.29,Individuals,0,I,0,1,0,6754
F,43,77829.54,Individuals,0,A,1,1,0,5445
F,49,120508.65,Individuals,1,A,1,6,0,5571
F,22,37256.91,College_Graduated,0,I,0,0,0,1087
M,25,207957.33,College_Graduated,0,I,0,0,0,684
M,43,144078.18,Individuals,0,A,1,2,0,4125
M,25,102026.04,College_Graduated,0,I,0,1,0,1801
M,22,65483.76,College_Graduated,0,I,1,1,0,1131
M,27,103297.14,VIP,0,A,1,2,0,411
M,48,157911.09,VIP,1,A,1,9,0,3996
M,24,60736.17,College_Graduated,0,A,1,2,0,810
F,26,64892.97,College_Graduated,0,I,0,1,0,1452
F,49,84669.84,Individuals,0,I,0,1,0,6558
F,46,152899.47,Individuals,0,A,1,3,0,2996
F,22,48536.13,College_Graduated,0,A,1,2,0,1144
M,25,87870.99,College_Graduated,0,I,0,1,0,1824
M,20,234987.93,College_Graduated,0,I,0,0,0,390
M,59,174303.36,VIP,0,A,1,4,0,5281
F,70,43426.92,Individuals,0,I,0,0,0,1049
M,20,45058.05,College_Graduated,0,I,1,1,0,423
F,25,75670.68,College_Graduated,0,I,1,1,0,1815
M,37,115818.48,Individuals,0,A,1,7,0,2376
F,27,166495.44,College_Graduated,0,I,0,1,0,1062
M,22,108185.85,College_Graduated,0,I,1,1,0,1144
M,23,50840.07,College_Graduated,0,I,0,1,0,1658
M,48,141291.42,Individuals,0,I,0,1,0,5378
M,54,163060.68,Individuals,0,I,1,2,0,1924
M,42,22323.84,Individuals,0,A,1,1,0,5646
M,42,58241.04,Individuals,0,A,1,3,0,1892
M,35,36275.55,Individuals,0,I,0,0,0,585
M,73,103741.14,Individuals,0,I,0,0,0,6688
F,28,37261.2,College_Graduated,0,I,0,1,0,1797
M,55,106864.05,Individuals,0,I,0,0,0,4412
M,27,70029.18,College_Graduated,0,I,0,1,0,710
F,53,82310.19,Individuals,0,I,0,1,0,7054
F,45,181860.33,Individuals,0,I,0,0,0,5074
F,22,21056.1,College_Graduated,0,I,0,1,0,1075
F,43,104024.91,Individuals,1,A,1,9,1,4993
M,61,173130.45,Individuals,0,I,1,1,0,1867
F,45,146459.1,Individuals,0,I,0,0,0,3738
F,67,165483.27,Individuals,0,A,1,1,0,853
F,51,174332.16,Individuals,1,A,1,7,0,6722
M,31,880562.85,College_Graduated,0,I,0,1,0,1438
M,20,103878.57,College_Graduated,0,A,1,1,0,716
M,39,32648.28,Individuals,0,A,1,1,0,601
M,22,153984.45,College_Graduated,0,I,0,1,0,1054
F,47,88928.94,Individuals,0,I,0,0,0,5578
M,24,52516.98,College_Graduated,0,I,0,1,0,1514
F,21,143897.85,Individuals,0,I,0,2,0,3283
M,27,211203.99,College_Graduated,0,I,0,1,0,1419
F,71,87277.8,VIP,0,A,1,2,0,2929
M,42,51224.58,Individuals,0,I,0,1,0,5319
F,27,63663.6,Individuals,0,I,0,1,0,695
M,47,183221.97,Individuals,0,A,1,2,0,5473
F,27,44550.48,College_Graduated,0,I,1,1,0,685
M,69,90588.63,Individuals,0,I,1,2,0,4286
F,56,181108.44,Individuals,0,A,1,1,0,5022
M,42,96967.65,Individuals,0,A,1,2,0,1084
F,75,71771.25,Individuals,0,A,1,2,0,755
M,56,865275.51,Individuals,0,I,0,1,0,2900
M,43,55313.31,Individuals,0,I,0,0,0,768
F,54,166534.17,Individuals,0,I,0,0,0,5347
M,22,50108.88,College_Graduated,0,I,0,1,0,1132
M,32,30707.22,College_Graduated,0,A,1,2,0,984
M,55,170100,Individuals,0,A,1,1,0,1200
F,74,125991.39,VIP,0,A,1,4,0,5988
F,83,54606.03,VIP,0,A,1,5,0,4582
M,54,90930.9,Individuals,1,A,1,7,0,2985
M,41,107829.24,Individuals,0,I,0,1,0,2780
F,32,96158.46,Individuals,0,A,1,4,0,1706
F,21,186518.19,Individuals,0,A,1,1,0,3758
M,26,65734.35,College_Graduated,0,I,0,1,0,737
M,27,90386.7,College_Graduated,0,A,1,2,0,3748
M,39,57235.86,Individuals,0,I,1,2,0,4192
M,24,179838.57,College_Graduated,0,I,1,1,0,1033
F,28,52770.66,College_Graduated,0,I,0,1,0,1868
F,75,46830.15,Individuals,0,I,0,1,0,4267
F,56,80716.44,Individuals,0,I,0,0,0,5305
F,34,113288.94,Individuals,0,A,1,4,0,373
M,24,133743.87,College_Graduated,0,I,0,1,0,1809
M,22,54087.3,College_Graduated,0,I,0,1,0,1132
F,61,144136.08,Individuals,0,A,1,2,0,990
F,53,95403.36,VIP,0,A,1,4,0,5975
M,41,106557.45,Individuals,0,A,1,5,0,2258
M,22,40219.83,College_Graduated,0,I,0,0,0,1131
F,49,90192.75,Individuals,0,I,0,1,0,5864
F,41,88727.82,Individuals,0,I,0,1,0,4318
M,23,130998.78,College_Graduated,0,I,0,0,0,3917
F,49,100993.38,Individuals,0,A,1,1,0,7048
M,41,410796.66,Individuals,0,A,1,1,0,2358
F,62,134965.11,Individuals,0,I,1,1,0,2273
F,27,52194.18,College_Graduated,0,A,1,2,0,677
F,32,62965.56,College_Graduated,0,I,0,0,0,1774
F,29,50349.21,College_Graduated,0,I,0,1,0,1455
F,44,117237.24,Individuals,0,I,0,0,0,3652
F,22,66398.85,College_Graduated,0,I,0,1,0,725
F,20,65136.15,College_Graduated,0,A,1,1,0,426
F,40,297720.33,Individuals,0,I,0,1,0,4813
M,52,150548.22,Individuals,0,A,1,1,0,2893
F,58,51990.12,Individuals,0,A,1,5,0,4338
F,43,169802.88,Individuals,1,A,1,6,0,5591
F,52,87856.02,Individuals,0,A,1,4,0,6472
M,55,306887.07,Individuals,0,A,1,2,0,3432
M,42,75266.31,Individuals,0,A,1,2,0,375
F,54,151264.26,Individuals,1,A,1,3,0,4629
M,40,273773.46,VIP,0,A,1,6,0,4510
M,24,65092.8,College_Graduated,0,A,1,1,0,1445
F,83,129645.75,Individuals,0,I,0,0,0,4895
F,46,137555.49,Individuals,0,A,1,4,0,5471
M,25,48582.9,College_Graduated,0,I,0,1,0,1508
F,75,337589.19,Individuals,0,I,0,1,0,7776
F,47,250209.81,Individuals,0,I,0,0,0,6005
M,23,45945.78,College_Graduated,0,I,0,1,0,1466
F,44,157428.3,Individuals,0,A,1,4,0,5186
M,42,111772.41,Individuals,0,A,1,2,0,2885
M,24,164288.97,College_Graduated,0,I,0,1,0,1098
M,25,50289.42,College_Graduated,0,I,0,1,0,1872
M,21,57667.8,College_Graduated,0,I,0,0,0,725
M,26,33926.76,College_Graduated,0,I,0,1,0,1818
F,31,108282.78,Individuals,1,A,1,1,0,606
M,40,46407.48,Individuals,0,I,0,0,0,4329
M,51,61425.69,Individuals,0,A,1,1,0,4113
F,58,195030.78,Individuals,0,I,0,1,0,5438
M,42,250030.74,Individuals,0,A,1,2,0,1545
M,32,29398.26,Individuals,0,I,0,0,0,1433
F,23,88983.48,College_Graduated,0,I,1,1,0,1521
F,26,89912.73,College_Graduated,0,I,1,1,0,1867
F,26,213594.78,College_Graduated,0,I,0,1,0,1151
M,63,78409.83,Individuals,0,I,0,1,0,1817
F,71,242253.39,Individuals,0,I,0,0,0,2232
F,64,60338.88,Individuals,0,I,0,1,0,6338
F,30,62790.75,College_Graduated,0,I,0,1,0,1759
F,20,93281.4,College_Graduated,0,I,0,1,0,726
F,26,90822.54,College_Graduated,0,I,0,1,0,425
M,41,175419.48,Individuals,1,A,1,3,0,4920
M,26,44655.24,College_Graduated,0,I,0,1,0,1146
F,49,80436.75,Individuals,0,A,1,2,0,6509
M,80,130654.2,Individuals,0,A,1,1,0,3750
M,38,97091.97,Individuals,0,A,1,1,0,1454
M,21,154748.37,College_Graduated,0,I,0,1,0,695
F,26,234028.74,College_Graduated,0,A,1,1,0,3693
M,23,94110.57,College_Graduated,0,I,0,1,0,1446
F,22,118003.41,College_Graduated,0,I,1,1,0,1126
F,20,66238.71,College_Graduated,0,I,0,0,0,414
F,24,130822.74,Individuals,1,A,1,4,0,2613
F,32,54369.69,Individuals,0,A,1,2,0,1711
M,22,55925.82,College_Graduated,0,A,1,2,0,3911
M,21,352702.95,College_Graduated,0,I,0,1,0,426
M,45,57678.6,Individuals,0,A,1,2,0,7544
F,33,122310.66,Individuals,1,A,1,5,0,796
F,39,162514.44,Individuals,1,A,1,3,0,6908
M,48,148658.67,Individuals,0,I,0,1,0,3987
F,74,65049.33,Individuals,0,I,0,0,0,5326
M,46,297163.5,Individuals,0,I,0,0,0,3029
M,22,105784.59,College_Graduated,0,A,1,1,0,1132
M,23,120411.06,College_Graduated,0,I,0,1,0,1053
M,34,72310.68,Individuals,0,I,0,1,0,4576
M,55,113781.66,Individuals,0,A,1,4,0,968
F,30,82348.47,Individuals,0,I,0,1,0,1580
M,24,60380.61,College_Graduated,0,A,1,1,0,1507
M,45,403880.64,Individuals,0,A,1,2,0,3349
M,34,81599.79,Individuals,0,I,0,1,0,1809
M,55,255592.11,Individuals,0,I,0,0,0,3862
M,61,164655.54,Individuals,0,I,0,1,0,2862
M,66,315167.7,Individuals,0,I,0,0,0,5342
M,43,213777.72,Individuals,0,I,0,1,0,4413
F,42,78034.86,Individuals,1,A,1,5,0,4251
M,47,88014.72,Individuals,1,A,1,5,0,4912
M,48,83527.53,Individuals,0,A,1,2,0,6463
M,56,224784.24,Individuals,0,A,1,1,0,6246
F,24,54297.9,College_Graduated,0,I,0,1,0,1867
F,49,204214.44,Individuals,1,A,1,3,0,1804
M,23,41317.62,College_Graduated,0,I,0,1,0,670
F,21,94836.78,College_Graduated,0,I,0,1,0,373
F,24,45037.8,College_Graduated,0,I,0,1,0,1759
F,21,34209.66,College_Graduated,0,I,0,1,0,783
M,57,182074.11,Individuals,0,A,1,6,0,2109
F,22,95791.02,College_Graduated,0,I,0,1,0,1076
M,54,146730.27,Individuals,0,I,0,1,0,3985
M,41,99201.9,Individuals,0,I,0,2,0,2764
F,70,164104.05,VIP,0,A,1,6,0,7211
F,36,353447.55,Individuals,0,A,1,1,0,2285
M,51,324947.28,Individuals,0,A,1,2,0,4301
M,24,58021.05,College_Graduated,0,I,0,1,0,1509
M,25,86619.9,College_Graduated,0,I,0,1,0,734
M,23,85280.28,College_Graduated,0,I,0,1,0,1453
F,21,139237.68,College_Graduated,0,A,1,1,0,779
M,23,99158.7,College_Graduated,0,I,0,1,0,1467
M,24,170875.44,College_Graduated,0,I,0,1,0,1810
F,44,145642.74,Individuals,0,A,1,2,0,4044
F,38,142501.29,Individuals,0,A,0,1,0,4241
F,52,85695.12,Individuals,0,I,0,0,0,7598
F,47,67991.88,Individuals,0,I,0,0,0,669
M,23,75281.31,College_Graduated,0,A,1,1,0,1075
F,28,44582.04,College_Graduated,0,I,0,1,0,1462
F,58,144736.77,VIP,0,A,1,4,0,5837
M,25,367566.24,College_Graduated,0,I,0,0,0,1390
M,25,32250.33,Individuals,0,A,1,2,0,1083
M,49,65490,Individuals,0,I,0,0,0,1396
F,37,136696.8,Individuals,0,A,1,2,0,766
F,49,336973.59,Individuals,0,I,1,1,0,1665
M,31,75208.74,College_Graduated,0,I,0,1,0,1514
F,40,65712.24,Individuals,0,I,0,0,0,842
M,60,192599.25,Individuals,0,A,1,5,0,5536
F,51,92544.54,VIP,1,A,1,6,0,4653
F,24,101509.38,College_Graduated,0,I,0,1,0,1741
F,26,34657.38,College_Graduated,0,I,0,1,0,1776
F,14,122587.71,Individuals,0,I,0,0,0,3642
F,20,68221.35,College_Graduated,0,A,0,1,0,790
F,43,132522.36,Individuals,0,A,1,2,0,2502
F,31,49967.34,Individuals,0,A,1,2,0,789
F,38,35248.89,Individuals,0,I,0,1,0,3246
F,41,98233.11,Individuals,0,A,1,2,0,5451
M,23,48115.2,College_Graduated,0,I,0,1,0,1067
F,42,61097.04,Individuals,0,I,0,0,0,1396
M,26,57910.71,College_Graduated,0,I,0,1,0,1446
M,23,43477.38,College_Graduated,0,I,0,1,0,719
F,25,120333.69,College_Graduated,0,I,0,1,0,1759
F,58,571154.58,Individuals,0,I,0,0,0,7061
F,58,132187.77,Individuals,0,I,0,1,0,7215
M,35,23767.11,Individuals,0,I,0,1,0,1055
M,53,48647.58,Individuals,0,A,0,1,1,3348
F,36,51431.58,Individuals,0,I,0,0,0,1504
M,31,54860.52,College_Graduated,0,I,0,1,0,1760
M,38,257419.65,Individuals,0,A,1,1,0,1504
M,22,94763.49,College_Graduated,0,A,1,1,0,1090
M,28,98535.9,College_Graduated,0,A,1,1,0,1091
M,85,42135.6,Individuals,0,A,1,2,0,4503
F,34,101684.85,Individuals,0,A,1,3,0,733
F,57,153733.56,Individuals,0,A,0,3,0,4162
F,65,122549.64,Individuals,0,A,1,4,0,3268
M,23,55711.41,College_Graduated,0,I,0,1,0,1481
M,43,140529.66,Individuals,1,A,1,7,1,3666
M,24,150005.58,College_Graduated,0,I,0,1,0,1516
M,36,227416.98,Individuals,0,A,1,4,0,2330
F,67,57809.01,Individuals,1,A,1,2,0,6628
F,53,81800.37,Individuals,0,A,1,2,0,2680
F,65,97604.49,Individuals,0,A,1,3,0,3508
M,25,39285.57,College_Graduated,0,I,0,1,0,1420
M,34,107254.47,Individuals,0,A,1,2,0,1104
F,23,109161.3,College_Graduated,0,I,0,1,0,1517
F,61,71214.09,VIP,1,A,1,4,0,3666
M,69,74069.04,Individuals,0,A,0,1,0,7487
F,49,58125.24,Individuals,0,A,1,3,0,4462
M,24,29992.38,College_Graduated,0,I,0,1,0,1801
M,45,272419.41,Individuals,1,A,1,6,0,2631
F,26,54882.96,College_Graduated,0,I,0,1,0,1070
F,48,222316.2,Individuals,0,A,1,1,0,3730
F,36,56563.86,Individuals,0,A,1,1,0,804
F,28,104341.05,College_Graduated,0,I,0,1,0,1762
F,49,114610.41,Individuals,0,I,0,1,0,4674
F,51,92152.62,Individuals,0,A,1,3,0,6403
F,80,109440.75,Individuals,0,I,0,1,0,5436
F,29,156573.84,College_Graduated,0,I,0,0,0,695
M,41,87439.32,Individuals,0,I,0,0,0,3407
F,76,30114.87,Individuals,0,A,0,0,0,4814
F,53,84896.61,Individuals,0,I,1,1,0,3061
F,72,286482.6,Individuals,0,A,1,1,0,6954
F,38,99149.43,Individuals,0,I,0,1,0,5969
M,24,82728,College_Graduated,0,I,0,1,0,1802
F,31,120968.67,College_Graduated,0,I,0,1,0,1391
M,89,198109.14,Individuals,0,I,0,0,0,5165
F,83,91888.74,Individuals,0,I,0,0,0,4931
M,29,82520.67,College_Graduated,0,I,0,1,0,1795
F,60,112092.3,Individuals,0,I,0,2,0,5466
F,23,84880.8,College_Graduated,0,I,0,1,0,1507
M,22,83684.7,College_Graduated,0,A,1,1,0,1073
F,48,61095.84,Individuals,0,A,1,1,0,3039
F,73,150580.74,VIP,0,A,1,5,0,5465
F,61,113966.94,Individuals,0,A,1,2,0,5599
M,22,84542.25,College_Graduated,0,A,1,1,0,1150
F,44,131631.42,Individuals,0,A,1,1,0,3614
F,83,229228.2,Individuals,1,A,1,6,0,7635
M,54,67606.05,Individuals,0,I,0,1,0,4957
F,52,204765.21,Individuals,0,I,1,1,0,4450
F,36,94849.23,Individuals,0,I,0,1,0,5183
M,32,167174.19,College_Graduated,0,I,0,1,0,1447
M,57,118234.53,Individuals,0,A,1,3,0,2348
M,21,84613.59,College_Graduated,0,A,1,1,0,409
F,46,152989.35,Individuals,0,I,0,1,0,3545
F,97,71311.23,Individuals,0,A,0,0,0,5291
M,78,54711.09,Individuals,0,A,1,2,0,2106
M,65,45731.82,Individuals,0,I,0,0,0,2893
M,51,51470.67,Individuals,0,I,1,2,0,5172
F,37,78220.53,Individuals,0,I,0,1,0,1591
M,40,45479.7,Individuals,0,I,0,0,0,5263
F,42,150906.33,Individuals,0,I,1,1,0,1244
M,22,62326.02,College_Graduated,0,I,0,1,0,1465
F,47,80213.85,Individuals,0,I,0,0,0,1927
M,47,157376.76,Individuals,0,I,0,1,0,2897
F,22,793311.24,College_Graduated,0,A,1,1,0,1311
M,24,398782.83,College_Graduated,0,I,0,1,0,1831
F,51,177099.3,Individuals,0,I,0,1,0,7205
M,22,47398.74,College_Graduated,0,I,0,0,0,1038
F,47,52629.36,Individuals,0,I,0,0,0,677
F,41,71738.37,Individuals,0,I,1,1,0,5129
M,15,73116.66,Individuals,0,I,0,0,0,4896
F,82,447427.32,Individuals,0,I,0,1,0,4058
M,28,65468.55,College_Graduated,0,I,0,1,0,1143
F,48,56312.64,Individuals,0,A,1,2,0,5479
M,24,68772.84,College_Graduated,0,I,0,1,0,1735
